category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Antiques & Collectables,Thorntons,Listing language only (no price data),Auction #2 - Collectables & Interiors  21.8.26 FRI133177,https://www.thorntons.net.nz/auctions/detail/bw133177,,,,4,,Broad category title with no description text limits assessment; insufficient information to identify specific items or condition.,,,,,,medium,"Collectables and interiors are typically resellable, but niche varies widely.",https://www.trademe.co.nz/a/search?search_string=collectable,https://www.facebook.com/marketplace/search/?query=collectable,https://www.ebay.com.au/sch/i.html?_nkw=collectable&LH_Sold=1&LH_Complete=1&_sop=13,Caution: no description provided; generic category title
,,,,,,,,,,,,,,,,,,,,,
Automotive Parts,Turners,Real price + condition,Hella Red Light Lens,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25042844,1.0,,Tidy,9,"Tidy condition, minimal wear; Bulk pair (x2) of OEM-spec lenses; Hella parts command premium resale",Tidy Hella lenses at $1 each are exceptional value; these genuine parts typically resell $15–25 per pair.,40,98,20,19,1900,high,OEM Hella parts in good condition always sell quickly to car buyers.,https://www.trademe.co.nz/a/search?search_string=Hella%20Red%20Light%20Lens,https://www.facebook.com/marketplace/search/?query=Hella%20Red%20Light%20Lens,https://www.ebay.com.au/sch/i.html?_nkw=Hella%20Red%20Light%20Lens&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
Automotive Parts,Turners,Real price + condition,Double-Ear Hose Clamps,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25043951,2.0,,Tidy,8,50 clamps for $2 is excellent bulk value; Tidy condition suggests quality stock; Double-ear design is premium variant,"50 double-ear hose clamps at $2 ($0.04 each) undercuts typical bulk pricing by 40–50%, and tidy condition confirms usable stock.",120,98,25,23,1150,high,Bulk fasteners have steady DIY/trade demand; easy to move as lot.,https://www.trademe.co.nz/a/search?search_string=Double-Ear%20Hose%20Clamps,https://www.facebook.com/marketplace/search/?query=Double-Ear%20Hose%20Clamps,https://www.ebay.com.au/sch/i.html?_nkw=Double-Ear%20Hose%20Clamps&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
Automotive Parts,Turners,Real price + condition,Mercedes Benz Truck Oil Filter,https://www.turners.co.nz/General-Goods/Search/automotive-goods/car-parts/25042579,1.0,,As New,8,"Truck-spec oil filter, stronger demand segment; As New condition, premium vs tidy; Genuine part at floor price",As New truck oil filter at $1 opening beats the generic filter on condition and truck market demand; typical retail $20–30 makes this excellent value.,28,96,16,15,1500,high,Truck parts have active secondhand buyer base; oil filters are consumables.,https://www.trademe.co.nz/a/search?search_string=Mercedes%20Benz%20Truck%20Oil%20Filter,https://www.facebook.com/marketplace/search/?query=Mercedes%20Benz%20Truck%20Oil%20Filter,https://www.ebay.com.au/sch/i.html?_nkw=Mercedes%20Benz%20Truck%20Oil%20Filter&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes unknown
,,,,,,,,,,,,,,,,,,,,,
Cars,Turners,Real price + condition,2020 Nissan Serena,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/nissan/serena/27999104,,,,6,"Newer model, lower mileage; Zero previous owners; Long WOF/rego validity","Newer 2020 Serena with only 75k km and clean history offers better condition premium over 2015, but missing price data prevents final value judgment.",,,16500,,,high,"Newer, low-mileage import appeals to family buyers seeking reliability.",https://www.trademe.co.nz/a/search?search_string=2020%20Nissan%20Serena,https://www.facebook.com/marketplace/search/?query=2020%20Nissan%20Serena,https://www.ebay.com.au/sch/i.html?_nkw=2020%20Nissan%20Serena&LH_Sold=1&LH_Complete=1&_sop=13,
Cars,Turners,Real price + condition,2015 Nissan Serena 2WD,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/nissan/serena/28056179,,,,5,"Fresh import, recent service; Higher mileage for age (119k km); Incomplete listing data","2015 model with moderate mileage at fair secondhand value, but listing lacks pricing and full condition details needed for confident assessment.",,,12000,,,high,"Popular family MPV, strong NZ demand for Japanese imports.",https://www.trademe.co.nz/a/search?search_string=2015%20Nissan%20Serena%202WD,https://www.facebook.com/marketplace/search/?query=2015%20Nissan%20Serena%202WD,https://www.ebay.com.au/sch/i.html?_nkw=2015%20Nissan%20Serena%202WD&LH_Sold=1&LH_Complete=1&_sop=13,
Cars,Turners,Real price + condition,2013 Toyota Vellfire,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/toyota/vellfire/28051382,,,,3,No pricing data available; Listing truncated/incomplete; Cannot assess auction competitiveness,"Missing current price, buy-now price, and condition details make valuation impossible; listing appears cut off mid-description.",,,,,,medium,"Toyota Vellfire popular in NZ, but incomplete info blocks evaluation",https://www.trademe.co.nz/a/search?search_string=2013%20Toyota%20Vellfire,https://www.facebook.com/marketplace/search/?query=2013%20Toyota%20Vellfire,https://www.ebay.com.au/sch/i.html?_nkw=2013%20Toyota%20Vellfire&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,
