category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,location,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Antiques & Collectables,Thorntons,Listing language only (no price data),Auction #2 - Collectables & Interiors  21.8.26 FRI133177,https://www.thorntons.net.nz/auctions/detail/bw133177,,,,,4,,"No substantive blurb provided; title alone offers no signal of condition, lot quality, or auction type.",,,,,,medium,Collectables and interiors are typically resellable but highly variable by item.,https://www.trademe.co.nz/a/search?search_string=collectable,https://www.facebook.com/marketplace/search/?query=collectable,https://www.ebay.com.au/sch/i.html?_nkw=collectable&LH_Sold=1&LH_Complete=1&_sop=13,Caution: minimal description provided
,,,,,,,,,,,,,,,,,,,,,,
Automotive Parts,Turners,Real price + condition,Hella Red Light Lens,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25042844,1.0,,Tidy,Turners Wellington Trucks & Machinery,9,Tidy condition for $1; Hella OEM part; Pair included,Tidy Hella lens pair at $1 is exceptional value; genuine OEM parts typically cost $15–25 each new.,40,98,18,17,1700,high,OEM Hella parts in good condition always resell quickly to mechanics/enthusiasts.,https://www.trademe.co.nz/a/search?search_string=Hella%20Red%20Light%20Lens,https://www.facebook.com/marketplace/search/?query=Hella%20Red%20Light%20Lens,https://www.ebay.com.au/sch/i.html?_nkw=Hella%20Red%20Light%20Lens&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
Automotive Parts,Turners,Real price + condition,Hella Red Light Lens,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25042885,1.0,,Average,Turners Wellington Trucks & Machinery,8,$1 price regardless of wear; Average but functional; Genuine OEM part,Average-condition Hella lenses at $1 offer strong value if lens is still clear and functional despite cosmetic wear.,40,98,12,11,1100,medium,Average condition reduces buyer appeal slightly; cosmetic marks may deter some resellers.,https://www.trademe.co.nz/a/search?search_string=Hella%20Red%20Light%20Lens,https://www.facebook.com/marketplace/search/?query=Hella%20Red%20Light%20Lens,https://www.ebay.com.au/sch/i.html?_nkw=Hella%20Red%20Light%20Lens&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes unknown
Automotive Parts,Turners,Real price + condition,Hella Red Light Lens,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25042863,1.0,,Average,Turners Wellington Trucks & Machinery,8,$1 price regardless of wear; Average but functional; Genuine OEM part,Average-condition Hella lenses at $1 offer strong value if lens is still clear and functional despite cosmetic wear.,40,98,12,11,1100,medium,Average condition reduces buyer appeal slightly; cosmetic marks may deter some resellers.,https://www.trademe.co.nz/a/search?search_string=Hella%20Red%20Light%20Lens,https://www.facebook.com/marketplace/search/?query=Hella%20Red%20Light%20Lens,https://www.ebay.com.au/sch/i.html?_nkw=Hella%20Red%20Light%20Lens&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
,,,,,,,,,,,,,,,,,,,,,,
Cars,Turners,Real price + condition,2020 Nissan Serena,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/nissan/serena/27999104,,,,Timaru,6,No current price data provided; Lower mileage (75k km) is an asset; Newer model (2020) vs 2015,"Cannot score fairly—auction price missing; newer 2020 model with 75k km and zero prior owners suggests better condition, but no price prevents proper value assessment.",,,24000,,,high,Newer Serena wagon highly sought after by NZ families.,https://www.trademe.co.nz/a/search?search_string=2020%20Nissan%20Serena,https://www.facebook.com/marketplace/search/?query=2020%20Nissan%20Serena,https://www.ebay.com.au/sch/i.html?_nkw=2020%20Nissan%20Serena&LH_Sold=1&LH_Complete=1&_sop=13,
Cars,Turners,Real price + condition,2015 Nissan Serena 2WD,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/nissan/serena/28056179,,,,Wellington - Porirua,5,No current price data provided; 119k km mileage is moderate; Fresh service completed,Cannot score fairly—auction price missing entirely; 2015 model with 119k km is reasonable but needs price context to assess value.,,,18000,,,high,Serena is popular family van in NZ secondhand market.,https://www.trademe.co.nz/a/search?search_string=2015%20Nissan%20Serena%202WD,https://www.facebook.com/marketplace/search/?query=2015%20Nissan%20Serena%202WD,https://www.ebay.com.au/sch/i.html?_nkw=2015%20Nissan%20Serena%202WD&LH_Sold=1&LH_Complete=1&_sop=13,
Cars,Turners,Real price + condition,2013 Toyota Vellfire,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/toyota/vellfire/28051382,,,,Hornby,3,No pricing data available; Incomplete listing description; Cannot assess value without price,"Listing lacks current auction price, buy-now price, and complete condition/testing details, making fair value assessment impossible.",,,,,,medium,Velfires are in-demand in NZ but incomplete data blocks evaluation.,https://www.trademe.co.nz/a/search?search_string=2013%20Toyota%20Vellfire,https://www.facebook.com/marketplace/search/?query=2013%20Toyota%20Vellfire,https://www.ebay.com.au/sch/i.html?_nkw=2013%20Toyota%20Vellfire&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,,
