category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,location,auction_status,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Automotive Parts,Turners,Real price + condition,3x Motorcycle Parts - Lever Brakes or Similar,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/21216803,10.0,,Excellent,Christchurch,,8,Excellent condition parts; 3x items for $10; Bulk motorcycle accessory value,Three genuine motorcycle parts in excellent condition at $10 total is well below typical retail (~$15–25 each); packaging damage doesn't affect functionality.,60,83,35,25,250,medium,Motorcycle parts have steady demand but niche audience; bulk lot easier than singles.,https://www.trademe.co.nz/a/search?search_string=3x%20Motorcycle%20Parts%20-%20Lever%20Brakes%20or%20Similar,https://www.facebook.com/marketplace/search/?query=3x%20Motorcycle%20Parts%20-%20Lever%20Brakes%20or%20Similar,https://www.ebay.com.au/sch/i.html?_nkw=3x%20Motorcycle%20Parts%20-%20Lever%20Brakes%20or%20Similar&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes unknown
Automotive Parts,Turners,Real price + condition,Strops or Similar,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/21217333,11.0,,Average,Christchurch,,5,"Cosmetic damage only, functional; Very cheap entry price; Niche/specialist tool market","At $11 for a used strop in average condition, you're getting a bargain price, but strops have limited secondhand demand and resale isn't quick—good value for a bargain hunter, weak value as an investment.",30,63,15,4,36,low,"Strops appeal mainly to woodworkers/leatherworkers; niche buyer pool, slow movement.",https://www.trademe.co.nz/a/search?search_string=Strops%20or%20Similar,https://www.facebook.com/marketplace/search/?query=Strops%20or%20Similar,https://www.ebay.com.au/sch/i.html?_nkw=Strops%20or%20Similar&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes unknown
,,,,,,,,,,,,,,,,,,,,,,,
Electronics & Tech,Turners,Real price + condition,Keyboard,https://www.turners.co.nz/General-Goods/Search/computer/peripherals/28439801,1.0,,Tidy,Turners Napier Trucks & Machinery,,3,Untested condition risky; USB keyboard commodity item; Suspiciously low opening bid,"At $1 untested, this is gambling on an unknown keyboard—could be DOA; typical resale value for working USB keyboards is $15–30 NZD, so risk-reward heavily favors caution.",40,98,20,19,1900,medium,USB keyboards common but only if it actually works.,https://www.trademe.co.nz/a/search?search_string=Keyboard,https://www.facebook.com/marketplace/search/?query=Keyboard,https://www.ebay.com.au/sch/i.html?_nkw=Keyboard&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: No Reserve; Closes 16 Sep 26
Electronics & Tech,Turners,Real price + condition,Mixed Batteries,https://www.turners.co.nz/General-Goods/Search/electronics/other/21462460,1.0,,Unknown,Turners Napier Trucks & Machinery,,2,"Untested, condition unknown; Mixed types, no individual assessment; Risky bulk lot from trade environment",Untested mixed batteries with unknown condition carry high failure risk; at $1 the upside is minimal and resale value uncertain without testing each cell.,,,,,,low,Buyer uncertainty around untested batteries limits appeal; risky secondhand purchase.,https://www.trademe.co.nz/a/search?search_string=Mixed%20Batteries,https://www.facebook.com/marketplace/search/?query=Mixed%20Batteries,https://www.ebay.com.au/sch/i.html?_nkw=Mixed%20Batteries&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes 16 Sep 26
,,,,,,,,,,,,,,,,,,,,,,,
House & Garden,Turners,Real price + condition,"Garage Items Etc - Strop or Similar, Wattyl Enamel White Gloss Etc",https://www.turners.co.nz/General-Goods/Search/house--garden/sheds--garages--accessories/21367182,11.0,,Tidy,Christchurch,,8,Bulk lot at minimal price; Partially-used consumables still useful; Typical garage clearance deal,"At $11 for mixed garage consumables (paint, strop, etc.) with ~50% product remaining, this is well below typical retail cost per item and good value for someone needing these materials immediately.",80,86,20,9,82,medium,Partially-used paint/consumables have niche appeal; strop with wear limits buyer pool.,https://www.trademe.co.nz/a/search?search_string=Garage%20Items%20Etc%20-%20Strop%20or%20Similar%2C%20Wattyl%20Enamel%20White%20Gloss%20Etc,https://www.facebook.com/marketplace/search/?query=Garage%20Items%20Etc%20-%20Strop%20or%20Similar%2C%20Wattyl%20Enamel%20White%20Gloss%20Etc,https://www.ebay.com.au/sch/i.html?_nkw=Garage%20Items%20Etc%20-%20Strop%20or%20Similar%2C%20Wattyl%20Enamel%20White%20Gloss%20Etc&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes unknown
House & Garden,Turners,Real price + condition,Garage Items Etc - Automatic Transmission Fluid Etc,https://www.turners.co.nz/General-Goods/Search/house--garden/sheds--garages--accessories/21217063,11.0,,Tidy,Christchurch,,2,Mostly empty/expired items; Untested fluid condition unclear; Limited usable quantity remaining,Quarter-full transmission fluid and expired first-aid supplies offer minimal practical value despite low price; buyer inherits disposal costs.,80,86,,,,low,Expired consumables and partially-used fluids have no secondhand market.,https://www.trademe.co.nz/a/search?search_string=Garage%20Items%20Etc%20-%20Automatic%20Transmission%20Fluid%20Etc,https://www.facebook.com/marketplace/search/?query=Garage%20Items%20Etc%20-%20Automatic%20Transmission%20Fluid%20Etc,https://www.ebay.com.au/sch/i.html?_nkw=Garage%20Items%20Etc%20-%20Automatic%20Transmission%20Fluid%20Etc&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes unknown
,,,,,,,,,,,,,,,,,,,,,,,
Motorbikes,Turners,Real price + condition,2023 Segway Fugleman UT10R,https://www.turners.co.nz/motorcycles-scooters/Used-Motorbikes-for-Sale/segway/fugleman-ut10r/28165209,,,,Turners Napier Trucks & Machinery,,6,"Ex-display model, minimal use (123km); No pricing data limits valuation certainty; Premium utility vehicle, niche NZ market","Ex-display Segway UTV with only test-drive use is mechanically sound, but no reserve/buy-now pricing and uncertain NZ demand for this brand/model make value assessment difficult.",45000,,38000,,,low,Segway UTVs are niche; limited NZ buyer pool and dealer network.,https://www.trademe.co.nz/a/search?search_string=2023%20Segway%20Fugleman%20UT10R,https://www.facebook.com/marketplace/search/?query=2023%20Segway%20Fugleman%20UT10R,https://www.ebay.com.au/sch/i.html?_nkw=2023%20Segway%20Fugleman%20UT10R&LH_Sold=1&LH_Complete=1&_sop=13,
